slno,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,url
1,295.0,0.0,8.813559322033898,0,5,48,843.8388671875,93.78526104310772,55,8,0,55.10130313724157,1652,https://web.archive.org/web/20100101000000/http://makeitrightnola.org
3,184.0,0.125,2.1739130434782608,0,22,38,1014.8212890625,95.51760672147286,48,9,0,57.89005199013915,853,https://web.archive.org/web/20100101000000/http://www.microplace.com
4,609.0,0.22660098522167488,5.0903119868637114,0,73,79,165.7998046875,85.89460416188103,69,2,0,17.06591083221282,328,https://web.archive.org/web/20100101000000/http://www.battlefront.co.uk
6,30.0,0.0,0.0,0,12,2,100.0341796875,83.87855713379216,27,5,0,15.121937590906612,291,https://web.archive.org/web/20100101000000/http://www.moma.org/interactives/redstudio/popart/
9,415.0,0.01927710843373494,4.819277108433735,0,3,38,50.7861328125,65.28218440534565,13,3,0,39.40730245424127,1762,https://web.archive.org/web/20100101000000/http://www.iphoneart.org
10,214.0,0.0514018691588785,0.0,0,6,10,260.080078125,92.78091933824469,25,10,0,61.788060382730635,1761,https://web.archive.org/web/20100101000000/http://www.thesedays.com/awards/hank/
12,79.0,0.10126582278481013,1.2658227848101267,0,4,13,207.4443359375,84.76812774511235,32,3,0,23.396942121903965,991,https://web.archive.org/web/20100101000000/http://www.itsthemoment.com
14,855.0,0.06666666666666667,2.456140350877193,0,33,99,204.177734375,82.87242081902448,75,2,0,22.895577375284393,732,https://web.archive.org/web/20100101000000/http://austintexasnow.com/
16,128.0,0.1171875,0.0,0,5,2,84.318359375,78.99979152671932,22,2,0,22.14889679627077,852,https://web.archive.org/web/20100101000000/http://panamera.com/#/home
17,43.0,0.0,2.3255813953488373,0,2,0,48.5263671875,68.30009458453242,18,1,0,13.242670197600937,349,https://web.archive.org/web/20100101000000/http://awesome.good.is/ecosystem/#/home
18,0.0,0.0,0.0,0,1,0,399.9736328125,91.73090023023978,42,8,0,28.21668324563741,374,https://web.archive.org/web/20100101000000/http://www.toyota.com/vehicles/minisite/newprius/
19,411.0,0.046228710462287104,4.13625304136253,1,13,35,2196.443359375,98.92199658716729,22,3,0,25.86456839552025,1353,https://web.archive.org/web/20100101000000/http://awards2.digivault.co.uk/?p=493
20,491.0,0.09164969450101833,0.40733197556008144,1,8,51,105.107421875,81.7058440955124,33,3,0,24.119213487870596,862,https://web.archive.org/web/20100101000000/http://www.moneyStrands.com
22,158.0,0.18354430379746836,0.6329113924050633,0,13,71,799.3271484375,92.38764048375648,41,4,0,94.48395399130388,1448,https://web.archive.org/web/20100101000000/http://www.BillShrink.com
24,431.0,0.01160092807424594,8.816705336426914,0,16,200,1060.341796875,87.76982657788338,130,6,0,30.96594344894569,1548,https://web.archive.org/web/20100101000000/http://www.realbeauty.com
25,24.0,0.0,0.0,0,0,2,91.3544921875,81.9748361786054,25,1,0,12.787953858692457,1,https://web.archive.org/web/20100101000000/http://www.getmagnetic.com
26,12.0,0.3333333333333333,0.0,0,0,2,59.306640625,73.21752017124979,19,1,0,9.66245587736859,140,https://web.archive.org/web/20100101000000/http://hd-generation.com/
27,33.0,0.24242424242424243,3.0303030303030303,0,1,1,250.259765625,93.80253330523753,26,1,0,16.748730214731708,280,https://web.archive.org/web/20100101000000/http://sephoraclaus.com
28,1826.0,0.05805038335158817,1.9167579408543263,1,62,559,1047.8994140625,88.3010002339129,214,2,0,22.260483329304574,302,https://web.archive.org/web/20100101000000/http://mashable.com
29,5642.0,0.02109181141439206,1.240694789081886,1,153,394,597.37109375,90.7200821306898,56,7,0,25.507392013222862,1656,https://web.archive.org/web/20100101000000/http://scholarlykitchen.sspnet.org/
30,802.0,0.2231920199501247,5.860349127182045,0,28,245,936.3583984375,91.35645384848841,78,10,0,23.825075510759312,1555,https://web.archive.org/web/20100101000000/http://gigaom.com
31,1804.0,0.16019955654101994,3.2150776053215075,1,104,179,785.611328125,88.9626161950909,83,12,1,36.69739822240973,1650,https://web.archive.org/web/20100101000000/http://kara.allthingsd.com
32,1826.0,0.05805038335158817,1.9167579408543263,1,62,559,1047.3134765625,88.29986321027853,214,2,0,22.260483329304574,302,https://web.archive.org/web/20100101000000/http://mashable.com
33,2095.0,0.03532219570405728,2.5298329355608593,5,136,113,1279.490234375,97.19820973623834,74,6,0,22.835817486426023,1007,https://web.archive.org/web/20100101000000/http://www.1000awesomethings.com
