slno,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,url
2,269.0,0.05947955390334572,15.613382899628252,0,15,84,2874.0009765625,94.62350538247496,47,7,0,6.527024558359043,1316,https://web.archive.org/web/20190101000000/http://nakashimawoodworkers.com
3,107.0,0.18691588785046728,19.626168224299064,0,6,130,10.0576171875,0.0,14,4,0,17.507198101765045,807,https://web.archive.org/web/20190101000000/https://www.madeamilano.com
4,330.0,0.22424242424242424,68.78787878787878,0,6,108,4552.4443359375,60.17745017217957,63,2,0,16.245245514127575,151,https://web.archive.org/web/20190101000000/http://ADG.org
5,111.0,0.43243243243243246,50.45045045045045,1,8,34,2427.4306640625,93.32450680676465,57,3,0,0.0,756,https://web.archive.org/web/20190101000000/https://www.delagarzaarchitecture.com
6,12.0,0.0,50.0,0,24,3,4446.98046875,99.28379246100101,32,15,0,44.16138431034779,2102,https://web.archive.org/web/20190101000000/https://brain-drool.jp/2018/
7,307.0,0.04234527687296417,0.9771986970684038,0,5,50,1008.2470703125,90.11569623563483,15,9,0,62.901331311398295,1604,https://web.archive.org/web/20190101000000/https://chronicle250.com/
8,90.0,0.0,2.2222222222222223,0,1,54,20054.3232421875,6.794241052391534,39,14,0,71.26594684252898,769,https://web.archive.org/web/20190101000000/https://www.publicsilotrail.com/
9,0.0,0.0,0.0,0,0,0,1682.6435546875,93.7469929374293,39,1,0,0.0,1,https://web.archive.org/web/20190101000000/http://www.paddle8.com
10,1159.0,0.0,6.9025021570319245,0,5,45,3530.1279296875,98.24792225184385,43,4,0,2.541582386837878,1266,https://web.archive.org/web/20190101000000/https://aiweiweihumanity.com/
13,483.0,0.22981366459627328,35.40372670807454,0,65,193,4598.4482421875,87.76901430106241,94,5,0,23.273963049271767,428,https://web.archive.org/web/20190101000000/http://www.ces.tech
14,251.0,0.2868525896414343,37.84860557768924,0,33,161,12492.828125,99.5976597823001,56,16,0,58.59841660522376,2092,https://web.archive.org/web/20190101000000/https://www.baa.org/
15,429.0,0.2097902097902098,5.361305361305361,0,27,70,2331.9326171875,79.33874087639386,42,5,0,8.844123309177961,311,https://web.archive.org/web/20190101000000/https://www.ctia.org/
16,106.0,0.14150943396226415,21.69811320754717,0,3,38,1783.7822265625,82.2543938359558,24,4,0,8.639192372832495,975,https://web.archive.org/web/20190101000000/https://www.ideo.com/blog
17,673.0,0.10104011887072809,0.5943536404160475,0,17,112,1969.884765625,92.69086964755434,115,7,0,22.085823661853137,1068,https://web.archive.org/web/20190101000000/http://blog.dropbox.com
18,68.0,1.0735294117647058,13.23529411764706,0,1,34,46266.2783203125,98.20944988766517,129,4,0,29.629413124764284,475,https://web.archive.org/web/20190101000000/https://www.invisionapp.com/inside-design
19,208.0,0.11538461538461539,12.5,1,4,42,5396.126953125,92.16763180478475,47,3,0,0.8935011330540868,982,https://web.archive.org/web/20190101000000/https://workingnotworking.com/magazine/
20,45.0,0.044444444444444446,2.2222222222222223,0,2,9,5669.75,84.08453304819436,54,2,0,13.092867757890584,326,https://web.archive.org/web/20190101000000/http://www.techcrunch.com
22,480.0,0.07291666666666667,6.25,0,33,58,28830.6328125,99.77189992415293,65,8,0,35.99483964806694,1164,https://web.archive.org/web/20190101000000/http://timeless.ee/
26,600.0,0.16,20.666666666666668,0,20,193,4018.3916015625,95.48074004461421,45,7,0,26.131474635345207,1480,https://web.archive.org/web/20190101000000/https://www.poetryfoundation.org/
27,907.0,0.18302094818081588,5.402425578831313,1,40,312,2291.56640625,91.6888693425792,77,3,0,7.545124204159678,581,https://web.archive.org/web/20190101000000/https://www.consumerreports.org/cro/index.htm
28,463.0,0.20734341252699784,11.447084233261338,4,21,66,10548.705078125,96.67001299959618,112,11,1,42.763780233561405,1788,https://web.archive.org/web/20190101000000/https://www.rainforesttrust.org/
30,742.0,0.18598382749326145,14.555256064690028,0,27,90,18866.5537109375,44.187286622619986,47,8,0,25.655303060336948,722,https://web.archive.org/web/20190101000000/https://826valencia.org/
