slno,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,url
1,25.0,0.16,8.0,0,3,6,0.0,0.0,18,1,0,12.148036126555816,264,http://12thplan.gov.in
2,222.0,0.04954954954954955,13.963963963963963,1,4,49,716.490234375,87.47747674073105,10,16,0,37.204353736642254,2169,http://1stbnhapambala.haryanapolice.gov.in
3,406.0,0.0812807881773399,12.807881773399016,1,26,78,245.71484375,77.90924121266076,29,10,0,55.175884209949295,2269,http://20pt.uk.gov.in
4,40.0,0.0,60.0,0,80,17,175.529296875,54.94931624216933,30,8,0,25.166980823468073,918,http://aaad.gov.in
5,455.0,0.03956043956043956,3.296703296703297,0,4,0,13.3505859375,0.0,1,5,-1,45.63104311164304,1734,http://aadhaar.hp.gov.in
6,18.0,0.2222222222222222,5.555555555555555,0,3,18,1257.740234375,82.68060432043455,20,7,0,78.23664288866404,992,http://aadhaar.jharkhand.gov.in
7,472.0,0.08686440677966102,9.745762711864407,0,178,179,1110.1591796875,89.82541390196894,26,8,0,89.850049337026,1715,http://aadhaar.rajasthan.gov.in
8,26.0,0.15384615384615385,7.6923076923076925,0,3,6,0.0,0.0,18,1,0,12.235250345221466,262,http://aagac.puducherry.gov.in
9,25.0,0.16,8.0,0,3,6,0.0,0.0,18,1,0,12.07809698585034,262,http://aasc.gov.in
10,134.0,0.08955223880597014,20.8955223880597,1,8,80,2851.048828125,93.04165750405724,62,20,0,58.43916437462799,1734,http://acb.rajasthan.gov.in
11,301.0,0.7940199335548173,112.95681063122925,2,98,56,21748.0810546875,98.3766168306426,60,11,0,45.50030452940654,1553,http://acbap.gov.in
12,48.0,0.375,47.91666666666667,0,5,31,1608.8916015625,96.5171577627989,28,10,0,90.71694231659987,1738,http://acbjharkhand.nic.in
13,366.0,0.12568306010928962,5.737704918032787,0,9,46,5664.865234375,97.42955394942302,100,12,0,51.894291932124574,1591,http://accessibleindia.gov.in
14,31.0,1.0,96.7741935483871,1,11,2,33.306640625,79.38192693367736,3,10,-1,45.72811413931401,850,http://acesdownload.nic.in
15,21.0,0.19047619047619047,4.761904761904762,0,3,6,0.0,0.0,18,1,0,11.304217884072928,231,http://actrec.gov.in
16,402.0,0.009950248756218905,17.91044776119403,3,110,22,194.09765625,71.4640061180543,13,9,0,42.78321347701366,2224,http://acy.bsf.gov.in
17,2.0,1.0,150.0,0,0,0,1.880859375,0.0,1,1,-1,4.345899408562268,62,http://addlwfa.nic.in
18,173.0,0.10982658959537572,13.872832369942195,2,4,23,99.67578125,88.58310146177058,2,8,0,41.8229000721229,1420,http://adgenez.gov.in
19,119.0,0.0,15.966386554621847,0,150,39,377.2431640625,96.3869768597737,57,17,0,65.85024802446925,2112,http://adibasikalyan.gov.in
21,21.0,0.19047619047619047,4.761904761904762,0,3,6,0.0,0.0,18,1,0,11.304217884072928,231,http://adilabadpolice.gov.in
22,25.0,0.16,8.0,0,3,6,0.0,0.0,18,1,0,12.216397749938904,264,http://adminreform.up.nic.in
23,377.0,0.1246684350132626,7.427055702917771,3,33,165,6589.7177734375,86.6582659923404,55,9,3,27.437536407182805,645,http://admis.hp.nic.in
