slno,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,url
1,993.0,0.06445115810674723,7.049345417925479,0,24,217,5045.4462890625,98.08581647629737,38,6,0,23.138397963569155,2572,http://acus.gov
2,1253.0,0.028731045490822026,2.0750199521149244,0,50,88,101.3916015625,0.0,18,13,0,29.281826345162806,1971,http://clerk.house.gov
3,287.0,0.06968641114982578,3.8327526132404177,0,6,95,2110.1396484375,80.69195287078804,30,14,0,34.693983040582346,2058,http://dra.gov
4,529.0,0.10207939508506617,3.5916824196597354,0,14,190,1304.2861328125,88.82912333060546,34,19,0,33.35161300804136,2332,http://endangered.fws.gov
6,279.0,0.20430107526881722,10.39426523297491,1,14,57,2437.9755859375,92.69505509141446,55,13,0,35.12219027957566,2217,http://icollege.ndu.edu
7,364.0,0.054945054945054944,10.43956043956044,3,74,91,773.26171875,90.02184839988887,40,17,0,28.192573908386116,1583,http://jfsc.ndu.edu
8,183.0,0.14754098360655737,8.743169398907105,0,19,42,132.7001953125,95.7235898001987,21,9,1,27.126281570400415,1643,http://lcweb.loc.gov/flicc
9,826.0,0.19491525423728814,6.174334140435835,0,12,133,404.71484375,74.1151659636897,44,12,0,70.9199419298369,1537,http://lsc.gov
10,763.0,0.7732634338138925,8.51900393184797,1,82,254,52666.5478515625,99.93153045273323,121,14,0,50.61381817163453,1794,http://nicic.gov
11,234.0,0.06837606837606838,6.41025641025641,0,10,102,5516.76953125,98.6512713721586,23,15,0,61.338568306076034,2122,http://npic.orst.edu
12,497.0,0.11871227364185111,11.267605633802818,0,14,103,193.69921875,68.20033476516022,44,15,0,46.81078981803019,1788,http://oceanservice.noaa.gov
13,399.0,0.11528822055137844,7.518796992481203,0,15,116,688.1240234375,83.75905960357005,37,7,0,36.35535307785971,1732,http://ofr.gov
14,120.0,0.058333333333333334,5.0,0,4,1,226.7841796875,88.314450946703,9,6,0,36.275822059751604,1411,http://otexa.trade.gov/cita_otexa.htm
15,822.0,0.015815085158150853,14.111922141119221,0,2,161,1807.5185546875,95.21059766092046,62,17,0,48.100717822757446,2125,http://science.energy.gov
16,668.0,0.22305389221556887,10.62874251497006,1,24,298,1201.3671875,94.9037554869127,61,12,0,62.93246356402146,1887,http://stats.bls.gov
17,638.0,0.050156739811912224,6.269592476489027,0,74,239,1315.1806640625,97.20407352542613,47,15,0,73.74621475444198,2136,http://trade.gov/index.asp
18,145.0,0.7724137931034483,15.172413793103448,0,5,70,1735.16796875,92.22123668683012,79,5,0,42.50300035589869,1395,http://travel.state.gov
19,509.0,0.03929273084479371,2.75049115913556,1,124,117,3931.193359375,99.37248201608628,56,13,0,83.88064187603916,1864,http://www.abilityone.gov
21,207.0,0.06763285024154589,14.975845410628018,1,20,43,609.052734375,92.06503439318871,42,14,0,41.93657109107376,2113,http://www.access-board.gov
22,787.0,0.07623888182973317,15.501905972045742,0,2,205,1344.8701171875,85.35690089728983,37,14,0,34.629127778579424,1903,http://www.acf.hhs.gov
23,459.0,0.2047930283224401,14.37908496732026,0,2,112,1934.7001953125,89.47178205602552,31,11,0,28.257703544213605,1728,http://www.acf.hhs.gov/programs/ana
24,505.0,0.12277227722772277,9.108910891089108,0,1,191,1274.8125,70.45820157376085,46,6,0,40.47792395446675,1600,http://www.acf.hhs.gov/programs/cse
25,355.0,0.1267605633802817,18.028169014084508,0,1,85,705.107421875,71.21781643422018,32,11,0,28.499816411760943,1502,http://www.acf.hhs.gov/programs/orr
26,600.0,0.33,17.0,0,14,187,7836.140625,97.90235995876478,70,9,0,40.29547966720304,1936,http://www.achp.gov
27,471.0,0.05732484076433121,8.9171974522293,0,14,209,482.8232421875,79.6266668824116,19,3,0,45.50840785522708,1493,http://www.acl.gov
28,528.0,0.13636363636363635,6.25,0,16,195,1202.8193359375,85.81133031362675,78,11,0,22.210010439354512,1419,http://www.act.org/goldwater
29,298.0,0.08389261744966443,9.731543624161073,0,15,34,408.4306640625,93.47827646311984,13,10,1,33.495993139061994,1492,http://www.adr.gov/index.html
30,447.0,0.053691275167785234,20.581655480984338,3,17,209,2586.474609375,95.32083592909328,94,11,0,34.708887717340765,2108,http://www.af.mil
31,700.0,0.02142857142857143,18.428571428571427,2,38,255,8074.07421875,98.50430317330306,170,15,0,27.413674172864955,2102,http://www.afrc.af.mil
32,193.0,0.07253886010362694,12.435233160621761,1,4,61,1591.3916015625,88.77290843987886,26,19,1,48.352635446311076,1781,http://www.afrh.gov
